Data Training;Id Film;Sentimen
"Lah gw jadi ngefans sama Iqbal .... Kelas film2 nya , ga kayak artis2 seusia nya yang main film cuma cinta2an yang ga jelas alur cerita nya . The next Reza Rahardian "" IQBAL""";2;Positif
iqbal ditakdirkan untuk menjadi lelaki yang doyan ngegombal;2;Positif
Bagusdah ganti ganti peran, jangan semua reza rahadian trus, kali kali kasih kesempatan artis yang lainnya,, bosen banget...;2;Positif
Terbukti ! kenapa MINKE si anak muda berbakat itu yg dipilih ? karena butuh skill bahasa asing yg baik, barulah film itu enak ditonton..;2;Positif
KENAPA FILM INDO MENDADAK PADA BAGUS? JADI HARUSSS NONTON FILMNYA;2;Positif
Gue abis nonton filmnya. Dan bagus banget, 3 jam gak rugi karena setiap scenenya penting. Pemainnya epic memerankan karakternya. Yang belum nonton WAJIB NONTON karena gak bakalan nyesel. Rate 9,5/10. Gw sampe nonton 2 kali;2;Positif
Kemaren nonton galprem dan WOWWWWW BAGUS BANGET FILMNYA...akting, chemistry, pengambilan gambar, musik.... PUAS dan GA SABAR NONTON LAGI.CONGRATS YO ALL CAST DAN MAS HANUNG..;2;Positif
semoga jumlah penontonnya sama kyk viewers trailernya yaa. Miris sekali sama selera orang indonesia. Udah difasilitasi cerita sejarah yg tidak perlu membaca kok ya masih kurang tertarik.;2;Positif
Ini film gilaakkkkkk.... epic abis... alurnya, dialognya, settingnya, budaya yang diangkat, Salman aristo gak main main nulis skenario, dan hanung bramantyo menghidupkan film ini seolah kita dibawa ke masa lalu. Luar biasa. Jujur awalnya gak bgitu tertarik liat triler ini. Tp karena penasaran dg novel legendaris bumi manusia, aku akhirnya nonton. Dan ternyata diluar ekspektasi... film ini luar biasa;2;Positif
Masuk bioskop dengan wajah sumringah.. sedangkan keluar bioskop dengan mata sembab.... maju terus perfilman Indonesia..;2;Positif
Kemaren saya abis ntn film ini. Bagus bngt sumpah😂 alurnya bagus bngt, Oia film ini jga memuat unsur dewasa gtu, tpi recommended bngt harus ditonton.;2;Positif
INI BUKAN IQBAAL BUKAN DILAN TAPI INI MINKE. ACTING LO GA MAIN MAIN. CONGRATS BAAL IM PROUD;2;Positif
Aku sudah nonton film ini . Awalnya aku tidak terlalu tertarik dengan film ini , tapi setelah nonton alhasil aku jadi jatuh cinta sama film ini 😍 filmnya keren banget , dari banyak film yang aku tonton baru film ini yang ngenak banget dihati;2;Positif
saya adalah suami annelies yang sah di mahkamah agama, - Minke AAAAAAA EXCITED BANGET GW SAMA FILM INI;2;Positif
film yang sangat luar biasa bagus, tidak sia sia kedinginan 3 jam di bioskop,, terutama acting Sha Ine Febrianti, layak menang Piala Citra;2;Positif
Bagus bangeett film full movienyaa! Sekalian bisa sambil beljar bahasa belanda hehe. Gala premiere di Surabaya pecaahh bangettt. Sukses terus falconn💖;2;Positif
Daripada buat film horror, mending banyakin film2 kek gini. MAJU TERUS PERFILMAN INDONESIA♨;2;Positif
"Abis Nonton film langsung buka trailer. Gara"" masih kebayang bagusnya kaya apa film ini. Wajib nonton. heheheh";2;Positif
Team yg nontonin trailernya berkali-kali sampe jadi 4 juta lebih , acungkan jari☝🏻️;2;Positif
